loc,lv1,lv2,lv3,lv4,lv5,tot18,avg_s,edugini
北京,0.022402348736277763,0.09203472044932347,0.22032167475108502,0.14692366607097268,0.5183175899923411,15668,12.591268828184836,0.12923590677482333
天津,0.021339816315505133,0.14802809292274446,0.37457230325949936,0.1446965604177922,0.31136322708445885,11106,10.977489645236808,0.1476767987443324
河北,0.04805968527606251,0.2508375133549427,0.44887094145555295,0.13584919327091974,0.11638266664252214,55223,9.037176538761024,0.13544786176172477
山西,0.03048242388586557,0.20311810560376525,0.4466097955581703,0.15634652154728637,0.1634431534049125,27196,9.729445506692162,0.13288717984300105
内蒙古,0.05518928115695449,0.23973840918757974,0.3719693747341557,0.131380263717567,0.2017226712037431,18808,9.590280731603574,0.17181201359600495
辽宁,0.02178278065104959,0.1940371159111652,0.471006997261941,0.13903255247946456,0.17414055369637968,32870,9.85792515972011,0.12814918854345564
吉林,0.03319219350756802,0.25049885628072227,0.4289190636102594,0.1471747700394218,0.1402151165620285,20547,9.372803815642186,0.13385991980600773
黑龙江,0.029626819341932814,0.23315168655583915,0.45243843553838725,0.14147754707870594,0.14330551148513485,28994,9.461474787887148,0.1294470696683059
上海,0.03026010086700289,0.13288377627925427,0.33762112540375133,0.1598571995239984,0.3393777979259931,17647,11.184223947413159,0.15153574321920757
江苏,0.0662388809669315,0.23862633258640592,0.39223874516194746,0.1453452841719291,0.15755075711278604,58908,9.22686222584369,0.16614298436283625
浙江,0.06003708310840942,0.2786396601497407,0.3773793038702561,0.11953434881592227,0.1644096040556716,42607,9.133217546412562,0.16863995146559002
安徽,0.07436944822667445,0.27748600574898963,0.3946054593788498,0.1267371242084333,0.12680196243705288,46269,8.766042058397632,0.16441039320665948
福建,0.0740912330719886,0.2914112615823236,0.37925873129009263,0.1139344262295082,0.14130434782608695,28060,8.789878831076265,0.17154168534891354
江西,0.04694932174525809,0.30254272124023723,0.40240178518997005,0.14563391860943098,0.10247225321510364,34058,8.824035468905985,0.1350955342572149
山东,0.0747538235910329,0.26764438857462114,0.4050562190097074,0.11706124729380543,0.13548432153083315,71595,8.82385641455409,0.16708393211672135
河南,0.05459609228074709,0.24965186556986377,0.45682415263361903,0.14179479449301577,0.09713309502275436,69657,8.864995621402013,0.13172187235896224
湖北,0.055205709487825355,0.2505131075660043,0.36719843268961655,0.1624685138539043,0.1646142364026495,42876,9.391314488291819,0.16133859410978646
湖南,0.03688877324312964,0.2669081883869418,0.3958087308100318,0.17671783991513382,0.12367646764476292,49961,9.263165268909749,0.13369124953096753
广东,0.03648129976275355,0.2263654092190741,0.42214962674053186,0.18244376265417914,0.13255990162346132,80507,9.467822673804761,0.1304876728467002
广西,0.04394148813637411,0.3034439069338862,0.46429394148813635,0.11356830223450817,0.07475236120709514,34728,8.558166321124165,0.11364660216601973
海南,0.04529616724738676,0.19118315406756553,0.45402211786093016,0.13164672019391002,0.17785184063020754,6601,9.658688077564006,0.14927675573563773
重庆,0.044966001316078086,0.32577319587628867,0.3277473130072384,0.1438473349418732,0.15766615485852162,22795,9.153191489361703,0.16171588155140784
四川,0.07914736773435971,0.3427164198577859,0.33434992497879834,0.1092047752625742,0.13458151216648184,61316,8.5292093417705,0.17740045764830856
贵州,0.10254034437495174,0.35873677708285073,0.35178750675623505,0.09088101304918539,0.09605435873677708,25902,7.945950119681878,0.1725158136844991
云南,0.08536794067313178,0.3730747290359384,0.35279520821448945,0.08508271534512264,0.10367940673131774,35060,8.093468339988592,0.1647166650736995
西藏,0.3320079522862823,0.3502982107355865,0.18210735586481114,0.05487077534791252,0.08071570576540756,2515,5.69065606361829,0.29741689605241667
陕西,0.0559318483346135,0.2476084072341317,0.3742755394176384,0.1417498778018295,0.1804343272117869,28642,9.44207806717408,0.16681752792979687
甘肃,0.10720398319589233,0.3305845132513874,0.3070898812302266,0.1245786006949847,0.13054302162750894,19281,8.330947564960324,0.19682605447547494
青海,0.12251428571428571,0.3504,0.28777142857142857,0.09028571428571429,0.14902857142857143,4375,8.16022857142857,0.2149923227440608
宁夏,0.09512341962673089,0.2948023279149107,0.3411599438089504,0.13245033112582782,0.13646397752358017,4983,8.612081075657235,0.1873445260326832
新疆,0.047939299879289535,0.30407541530148874,0.3565557279990803,0.10944415703856987,0.18198539978157152,17397,9.258550324768638,0.16888707979371426
