,2017,2018
北京,57229.8322,62361.2158
天津,37022.3292,39506.1469
河北,21484.1267,23445.6533
山西,20420.006,21990.1376
内蒙古,26212.228,28375.6543
辽宁,27835.4429,29701.4478
吉林,21368.3222,22798.3716
黑龙江,21205.7897,22725.8489
上海,58987.9558,64182.6453
江苏,35024.092,38095.7933
浙江,42045.6938,45839.8433
安徽,21863.3039,23983.5832
福建,30047.747,32643.9307
江西,22031.4483,24079.678
山东,26929.9432,29204.6149
河南,20170.026,21963.5356
湖北,23757.169,25814.5428
湖南,23102.7109,25240.7492
广东,33003.2852,35809.9008
广西,19904.7576,21485.0277
海南,22553.2378,24579.0389
重庆,24152.9882,26385.8356
四川,20579.8183,22460.5507
贵州,16703.6483,18430.1825
云南,18348.3442,20084.1919
西藏,15457.2993,17286.0626
陕西,20635.2087,22528.2553
甘肃,16010.9997,17488.3934
青海,19001.0223,20757.2559
宁夏,20561.6632,22400.4199
新疆,19975.098,21500.2406
